Goat_id,Gender,Birth_date,Breed,Cohort_id
2011,Female,48:36.5,ARG,2011
2012,Female,48:50.4,ARG,2012
2016,Female,48:50.6,ARG,2016
2017,Female,49:55.4,ARG,2017
2022,Female,50:09.2,,2022
2024,Female,50:09.4,ARG,2024
2026,Female,50:44.5,ARG,2026
2033,Female,51:10.0,ARG,2033
2042,Female,51:10.2,ARG,2042
2047,Female,51:33.2,ARG,2047
2053,Female,52:20.6,Cull,2053
2054,Female,52:20.7,,2054
2056,Female,53:13.9,,2056
2064,Female,53:27.0,ARG,2064
2066,Female,53:27.3,,2066
2067,Female,53:51.2,,2067
2068,Female,54:02.5,ARG,2068
2071,Female,54:02.7,ARG,2071
2073,Female,54:33.6,,2073
2074,Female,54:43.0,ARG,2074
2075,Female,54:43.3,ARG,2075
2078,Female,55:34.4,,2078
2082,Female,55:44.2,ARG,2082
2092,Female,55:44.3,ARG,2092
2093,Female,56:44.6,ARG,2093
2094,Female,56:57.3,ARG,2094
2096,Female,56:57.4,ARG,2096
2098,Female,57:31.4,ARG,2098
2100,Female,57:39.2,ARG,2100
2101,Female,57:39.3,,2101
2104,Female,58:03.8,Cull,2104
2105,Female,58:16.2,,2105
2106,Female,58:16.3,ARG,2106
2113,Female,58:33.6,,2113
2128,Female,58:40.9,Cull,2128
2149,Female,58:41.1,ARG,2149
2159,Female,02:32.0,ARG,2159
2161,Female,05:21.4,ARG,2161
2172,Female,05:33.2,ARG,2172
2175,Female,05:33.4,ARG,2175
2179,Female,06:05.1,ARG,2179
2187,Female,06:05.3,Cull,2187
2188,Female,06:48.3,Cull,2188
2189,Female,06:56.9,Cull,2189
2198,Female,06:57.0,ARG,2198
2199,Female,07:40.4,ARG,2199
2201,Female,07:56.1,ARG,2201
2204,Female,07:56.3,ARG,2204
2205,Female,09:52.2,ARG,2205
2214,Female,11:02.3,,2214
2215,Wether,11:16.9,,2215
2216,Female,11:17.1,,2216
2217,Wether,11:57.9,,2217
2218,Wether,13:01.8,,2218
2219,Wether,13:01.9,,2219
2221,Wether,13:52.4,,2221
2222,Female,14:06.4,,2222
2223,Female,14:06.8,ARG,2223
2224,Female,26:16.3,Cull,2224
2226,Wether,27:07.1,,2226
2227,Wether,27:19.3,,2227
2229,Wether,27:19.5,,2229
2230,Wether,27:44.9,,2230
2232,Wether,27:54.8,,2232
2233,Wether,27:54.9,,2233
2234,Female,28:11.8,ARG,2234
2235,Female,28:32.8,Cull,2235
2236,Wether,28:41.8,,2236
2237,Wether,28:42.0,,2237
2238,Wether,29:02.8,,2238
2239,Wether,29:14.9,,2239
2241,Wether,29:15.2,,2241
2242,Female,29:35.0,ARG,2242
2243,Wether,29:53.3,,2243
2244,Wether,29:53.5,,2244
2246,Female,31:13.0,ARG,2246
2247,Female,32:35.3,ARG,2247
2251,Wether,32:43.0,,2251
2254,Female,32:43.4,,2254
2256,Female,33:16.0,Cull,2256
2257,Female,33:26.6,ARG,2257
2258,Wether,33:26.7,,2258
2260,Female,33:41.8,,2260
2262,Female,33:57.0,ARG,2262
2263,Wether,34:06.6,,2263
2264,Wether,34:06.8,,2264
2265,Wether,35:23.5,,2265
2266,Wether,35:32.1,,2266
2267,Female,35:32.2,ARG,2267
2268,Female,35:59.8,,2268
2270,Wether,36:07.9,,2270
2273,Female,36:08.0,Comm,2273
2274,Wether,36:48.0,,2274
2277,Wether,36:55.0,,2277
2278,Wether,36:55.1,,2278
2281,Female,39:05.8,,2281
2282,Female,40:00.5,ARG,2282
2283,Female,41:42.7,ARG,2283
2284,Wether,41:43.0,,2284
2285,Wether,46:15.5,,2285
2286,Female,46:15.7,ARG,2286
2287,Wether,47:38.9,,2287
2288,Wether,48:52.7,,2288
2289,Wether,49:03.5,,2289
2290,Wether,49:03.8,,2290
2291,Female,49:40.3,Cull,2291
2292,Female,49:51.2,ARG,2292
2294,Wether,49:51.5,,2294
2295,Female,50:13.7,,2295
2296,Wether,50:21.3,,2296
2297,Female,50:21.4,ARG,2297
2298,Female,51:22.4,,2298
2300,Wether,51:28.9,,2300
2301,Female,51:29.2,ARG,2301
2303,Female,51:48.1,ARG,2303
2304,Female,51:54.9,ARG,2304
2305,Female,51:55.1,,2305
2306,Wether,52:45.8,,2306
2307,Wether,52:53.7,,2307
2308,Female,52:53.9,ARG,2308
2309,Wether,53:15.1,,2309
2310,Female,53:23.7,ARG,2310
2311,Wether,53:23.8,,2311
2312,Female,54:05.7,,2312
2313,Female,54:14.4,COMMERCIAL,2313
2314,Female,54:14.6,ARG,2314
2315,Wether,54:32.1,,2315
2316,Wether,55:36.4,,2316
2318,Female,55:36.7,Cull,2318
2319,Wether,56:06.4,,2319
2320,Female,56:13.8,ARG,2320
2321,Wether,56:14.0,,2321
2322,Female,56:38.3,Cull,2322
2324,Female,56:45.5,,2324
2325,Female,56:45.8,,2325
2326,Wether,57:02.9,,2326
2327,Wether,57:10.0,,2327
2328,Female,57:10.2,ARG,2328
2329,Wether,57:28.7,,2329
2330,Wether,57:37.4,,2330
2331,Female,57:37.6,ARG,2331
2332,Female,58:39.1,COMMERCIAL,2332
2333,Wether,58:47.8,,2333
2334,Female,58:47.9,Cull,2334
2335,Female,59:23.0,,2335
2336,Female,59:31.0,,2336
2337,Female,59:31.2,ARG,2337
2338,Wether,00:48.2,,2338
2339,Wether,00:55.5,,2339
2340,Female,00:55.6,ARG,2340
2341,Female,01:12.2,ARG,2341
2342,Wether,01:21.0,,2342
2344,Female,01:21.2,ARG,2344
2345,Wether,01:31.3,,2345
2346,Female,01:50.9,ARG,2346
2347,Wether,02:02.1,,2347
2348,Female,02:02.3,ARG,2348
2349,Female,02:42.2,ARG,2349
2351,Wether,03:15.8,,2351
2352,Wether,03:16.1,,2352
2353,Wether,05:41.9,,2353
2354,Wether,05:42.0,,2354
2355,Female,09:21.1,ARG,2355
2356,Female,09:58.6,ARG,2356
2357,Female,09:58.7,ARG,2357
2358,Female,11:03.8,ARG,2358
2359,Wether,11:23.8,,2359
2360,Wether,11:33.1,,2360
2361,Female,11:33.2,ARG,2361
2362,Wether,11:50.9,,2362
2364,Wether,11:59.7,,2364
2365,Female,11:59.9,ARG,2365
2366,Wether,12:45.7,,2366
2367,Wether,12:52.7,,2367
2368,Wether,12:52.9,,2368
2370,Wether,13:55.0,,2370
2371,Female,14:33.3,,2371
2372,Wether,14:40.1,,2372
2373,Female,14:40.3,ARG,2373
2374,Wether,15:11.5,,2374
2375,Wether,15:21.1,,2375
2376,Female,15:21.3,ARG,2376
2377,Female,15:47.5,ARG,2377
2380,Female,16:03.3,ARG,2380
2381,Female,16:03.5,COMMERCIAL,2381
2382,Female,17:19.7,ARG,2382
2383,Female,17:19.9,Cull,2383
2384,Wether,18:00.8,,2384
2385,Wether,18:12.1,,2385
2388,Female,18:12.3,,2388
2389,Female,19:35.1,Cull,2389
2390,Wether,22:25.7,,2390
2391,Wether,22:25.9,,2391
2393,Female,23:16.9,Cull,2393
2394,Wether,36:37.4,,2394
2395,Female,36:52.8,ARG,2395
2396,Wether,38:22.3,,2396
2397,Female,38:22.4,,2397
2398,Wether,38:46.8,,2398
2399,Female,39:27.5,,2399
2400,Female,39:42.1,ARG,2400
2401,Female,39:42.4,ARG,2401
2403,Female,39:57.2,ARG,2403
2404,Wether,40:04.6,,2404
2405,Wether,40:04.7,,2405
2406,Female,40:52.5,COMMERCIAL,2406
2407,Female,41:14.0,,2407
2408,Wether,41:14.2,,2408
2409,Female,42:15.5,ARG,2409
2410,Female,42:28.8,,2410
2411,Female,42:28.9,,2411
2412,Wether,44:00.1,,2412
2414,Female,44:56.5,,2414
2415,Wether,45:05.3,,2415
2417,Wether,45:05.5,,2417
2418,Wether,45:16.1,,2418
2419,Wether,46:16.8,,2419
2420,Female,46:58.0,Cull,2420
2421,Wether,47:06.4,,2421
2422,Female,47:06.6,ARG,2422
2424,Female,47:41.2,,2424
2425,Wether,48:31.0,,2425
2426,Female,51:51.9,ARG,2426
2427,Female,53:09.2,ARG,2427
2429,Female,53:16.8,Cull,2429
2430,Wether,53:17.0,,2430
2431,Female,53:35.6,ARG,2431
2435,Female,57:36.3,Cull,2435
2438,Female,58:07.7,ARG,2438
2439,Wether,58:19.5,,2439
2440,Female,58:19.8,,2440
2443,Female,59:06.0,ARG,2443
2444,Wether,59:14.6,,2444
2445,Female,59:14.8,ARG,2445
2446,Wether,59:51.5,,2446
2447,Female,00:00.9,ARG,2447
2448,Wether,00:01.0,,2448
2449,Wether,01:10.1,,2449
2450,Wether,01:50.1,,2450
2451,Female,01:57.9,Cull,2451
2452,Wether,01:58.0,,2452
2453,Female,02:07.7,,2453
2454,Wether,02:25.4,,2454
2455,Wether,02:33.0,,2455
2456,Female,02:33.2,ARG,2456
2457,Wether,02:53.1,,2457
2458,Wether,03:00.4,,2458
2459,Female,03:00.5,ARG,2459
2460,Female,03:58.3,,2460
2461,Wether,05:04.1,,2461
2462,Female,05:17.5,Cull,2462
2463,Wether,05:17.8,,2463
2464,Wether,05:39.6,,2464
2465,Female,05:48.9,ARG,2465
2466,Female,05:49.2,Cull,2466
2467,Female,06:08.0,ARG,2467
2468,Female,06:37.8,ARG,2468
2469,Female,06:50.8,ARG,2469
2470,Female,06:51.0,,2470
2471,Wether,08:34.2,,2471
2473,Wether,09:50.6,,2473
2474,Female,10:04.7,ARG,2474
2476,Female,10:04.8,ARG,2476
2477,Female,10:25.2,ARG,2477
2478,Female,10:58.4,,2478
2479,Female,11:05.8,,2479
2480,Wether,11:06.0,,2480
2481,Female,11:59.9,Cull,2481
2483,Wether,12:08.9,,2483
2484,Wether,12:09.1,,2484
2485,Wether,12:41.3,,2485
2491,Female,14:17.3,Cull,2491
2492,Female,14:24.1,,2492
2493,Female,14:24.2,Cull,2493
2495,Female,15:12.3,ARG,2495
2496,Female,15:20.0,ARG,2496
2497,Female,15:20.2,ARG,2497
2498,Female,15:37.4,ARG,2498
2499,Female,16:17.2,,2499
2500,Female,16:24.9,ARG,2500
2501,Female,16:25.2,ARG,2501
2502,Female,17:35.1,,2502
2503,Female,17:45.1,,2503
2504,Female,17:45.3,,2504
2505,Female,18:00.3,ARG,2505
2506,Female,18:07.0,ARG,2506
2507,Female,18:07.1,,2507
2508,Female,18:45.4,ARG,2508
2509,Female,19:10.0,ARG,2509
2511,Female,19:10.1,ARG,2511
2512,Female,21:19.6,,2512
2513,Female,21:54.4,ARG,2513
2514,Female,22:09.4,ARG,2514
2515,Female,22:29.9,ARG,2515
2516,Female,22:30.0,,2516
2517,Female,22:42.5,ARG,2517
2518,Female,23:00.2,ARG,2518
2519,Female,23:11.6,ARG,2519
2520,Female,23:11.8,ARG,2520
2521,Female,24:16.5,ARG,2521
2522,Female,24:58.7,,2522
2523,Female,29:53.4,,2523
2524,Female,30:19.0,,2524
2525,Female,30:38.2,ARG,2525
2526,Female,30:38.3,ARG,2526
2527,Female,31:14.7,ARG,2527
2528,Female,31:27.4,ARG,2528
2529,Female,31:27.5,ARG,2529
2530,Female,32:08.4,ARG,2530
2531,Female,32:19.9,ARG,2531
2532,Female,32:20.0,ARG,2532
2533,Female,32:58.7,Cull,2533
2534,Female,33:05.7,,2534
2535,Female,33:05.9,,2535
2536,Female,33:42.1,,2536
2537,Female,33:51.6,ARG,2537
2538,Female,33:51.8,ARG,2538
2539,Female,34:31.7,,2539
2541,Female,35:20.7,Cull,2541
2542,Female,35:51.5,,2542
2543,Female,36:19.4,ARG,2543
2544,Female,45:38.3,ARG,2544
2549,Female,45:48.2,ARG,2549
2554,Female,45:48.5,ARG,2554
2556,Female,46:01.8,ARG,2556
2557,Wether,46:27.8,,2557
2558,Female,46:28.1,,2558
2559,Wether,50:14.3,,2559
2561,Female,50:55.3,ARG,2561
2562,Female,51:06.4,,2562
2563,Female,51:06.5,,2563
2711,Female,52:58.4,,2711
2712,Female,53:44.1,ARG,2712
2713,Female,55:18.7,Cull,2713
2714,Female,56:38.3,ARG,2714
2715,Female,57:19.5,,2715
2716,Female,57:25.5,Cull,2716
2717,Female,57:25.6,ARG,2717
2718,Female,57:34.8,,2718
2719,Female,59:01.7,ARG,2719
2720,Female,59:46.5,,2720
2721,Female,59:53.5,ARG,2721
2722,Female,59:53.8,Cull,2722
2723,Female,00:11.6,,2723
2724,Female,01:28.3,ARG,2724
2725,Female,02:15.0,ARG,2725
2726,Female,02:26.2,,2726
2727,Female,02:26.4,,2727
2728,Female,02:52.7,ARG,2728
2729,Female,03:02.1,ARG,2729
2730,Female,03:02.3,ARG,2730
2731,Female,03:29.1,,2731
2732,Female,04:35.5,,2732
2733,Female,04:45.0,ARG,2733
2734,Female,04:45.2,Cull,2734
2735,Wether,05:43.9,,2735
2736,Female,06:15.7,ARG,2736
2737,Female,06:15.9,ARG,2737
2738,Female,30:46.0,ARG,2738
2739,Female,41:57.2,ARG,2739
2740,,42:39.7,,2740
2741,Female,42:40.0,,2741
2742,Female,48:35.1,Cull,2742
2743,Female,49:35.7,ARG,2743
2744,Female,49:35.9,,2744
2745,Female,50:10.5,ARG,2745
2746,Female,51:08.5,ARG,2746
2747,Female,51:45.3,ARG,2747
2748,Female,51:45.5,,2748
2749,Female,53:23.0,,2749
2750,Female,54:01.3,,2750
2752,Wether,54:01.5,,2752
2753,Wether,54:19.8,,2753
2754,Wether,56:22.1,,2754
2755,Wether,56:47.0,,2755
2756,Wether,56:47.2,,2756
2757,Wether,57:32.5,,2757
2758,Wether,58:04.4,,2758
2760,Wether,58:19.7,,2760
2761,Female,58:20.0,,2761
2762,Wether,00:05.8,,2762
2763,Female,00:23.2,COMMERCIAL,2763
2764,Wether,00:23.4,,2764
2765,Female,01:49.2,Cull,2765
2766,Female,02:02.0,ARG,2766
2767,Wether,02:02.2,,2767
2768,Female,03:30.4,ARG,2768
2769,Female,03:52.4,ARG,2769
2770,Female,03:52.6,Cull,2770
2771,Wether,05:22.8,,2771
2772,Wether,05:44.5,,2772
2773,Wether,05:44.7,,2773
2774,Wether,06:32.6,,2774
2775,Desexed M,06:56.2,,2775
2776,Wether,06:56.5,,2776
2777,Wether,11:12.0,,2777
2778,Female,11:29.5,ARG,2778
2779,Female,11:29.7,Comm,2779
2780,Female,13:49.3,,2780
2781,Female,14:06.1,ARG,2781
2782,Female,14:06.2,ARG,2782
2783,Wether,15:12.2,,2783
2784,Female,15:33.9,,2784
2785,Female,15:34.1,ARG,2785
2786,Female,17:16.9,,2786
2787,Wether,17:42.2,,2787
2788,Female,17:42.4,ARG,2788
2789,Wether,19:14.1,,2789
2790,Female,19:37.5,,2790
2791,Female,19:37.8,ARG,2791
2792,Wether,21:15.6,,2792
2793,Wether,21:39.3,,2793
2799,Wether,21:39.5,,2799
2801,Wether,23:28.6,,2801
2802,Female,24:04.0,,2802
2803,Female,24:04.2,ARG,2803
2805,Female,25:58.8,,2805
2806,Female,26:24.4,ARG,2806
2807,Wether,26:24.6,,2807
2808,Wether,27:35.5,,2808
2809,Wether,28:03.7,,2809
2810,Wether,28:04.0,,2810
2811,Wether,29:54.7,,2811
2812,Wether,30:10.7,,2812
2813,Wether,30:10.9,,2813
2814,Wether,39:16.9,,2814
2815,Wether,39:37.6,,2815
2816,Female,39:37.8,ARG,2816
2817,Female,40:51.1,ARG,2817
2818,Female,41:10.2,ARG,2818
2819,Female,41:10.4,ARG,2819
2820,Female,42:25.3,,2820
2821,Female,42:37.7,,2821
2822,Female,42:37.9,ARG,2822
2823,Wether,45:06.5,,2823
2824,Wether,45:20.2,,2824
2825,Wether,45:20.3,,2825
2826,Female,46:48.2,,2826
2827,Wether,47:14.0,,2827
2828,Wether,47:14.2,,2828
2829,Wether,50:53.1,,2829
2830,Wether,51:12.8,,2830
2831,Wether,51:13.0,,2831
2832,Wether,53:20.7,,2832
2833,Wether,53:46.1,,2833
2834,Wether,53:46.3,,2834
2835,Male,55:10.3,,2835
2838,Female,55:33.8,,2838
2839,Wether,55:34.1,,2839
2840,Wether,04:33.7,,2840
2841,Female,04:51.4,ARG,2841
2842,Wether,04:51.6,,2842
2843,Wether,08:59.0,,2843
2844,Female,09:35.4,,2844
2845,Female,09:35.7,ARG,2845
2846,Wether,10:36.7,,2846
2847,Female,10:36.8,ARG,2847
2848,Female,15:29.6,,2848
2849,Female,15:45.9,ARG,2849
2850,Female,15:46.1,,2850
2851,Male,20:10.3,,2851
2852,Female,20:28.8,ARG,2852
2853,Wether,20:29.0,,2853
2854,Female,22:24.7,,2854
2855,Male,22:42.2,,2855
2856,Female,22:42.5,,2856
2857,Female,24:09.9,,2857
2858,Wether,24:25.2,,2858
2859,Female,24:25.3,ARG,2859
2863,Female,26:24.0,,2863
2864,Wether,26:44.4,,2864
2865,Female,26:44.7,ARG,2865
2868,Wether,28:29.5,,2868
2869,Female,28:47.0,,2869
2870,Wether,28:47.3,,2870
2871,Female,30:49.3,ARG,2871
2872,Male,31:27.8,,2872
2873,Female,31:28.0,,2873
2874,Male,32:28.3,,2874
2875,Wether,32:28.4,,2875
2876,Wether,41:52.2,,2876
2877,Female,42:07.7,ARG,2877
2878,Wether,42:08.0,,2878
2879,Female,42:27.4,,2879
2880,Wether,43:10.1,,2880
2881,Female,44:03.0,,2881
2882,Female,44:03.2,ARG,2882
2883,Female,44:15.7,ARG,2883
2884,Male,49:46.1,,2884
2885,Female,50:18.7,ARG,2885
2886,Female,50:18.9,,2886
2887,Male,52:37.2,,2887
2888,Wether,53:08.0,,2888
2889,Female,53:08.3,,2889
2890,Wether,58:01.2,,2890
2891,Female,58:55.3,ARG,2891
2892,Female,58:55.5,ARG,2892
2893,Female,00:55.4,Comm,2893
2894,Wether,01:14.0,,2894
2895,Wether,01:14.2,,2895
2896,Female,02:07.5,ARG,2896
2897,Female,02:26.9,ARG,2897
2898,Female,02:27.1,,2898
2899,Wether,21:48.2,,2899
2900,Female,22:12.8,,2900
2901,Female,22:13.1,,2901
2902,Female,28:49.7,Cull,2902
2903,Wether,29:18.3,,2903
2904,Wether,29:18.5,,2904
2905,Wether,30:17.0,,2905
2906,Female,30:34.0,ARG,2906
2907,Wether,30:34.3,,2907
2909,Female,32:28.3,ARG,2909
2910,Wether,32:46.0,,2910
2911,Female,32:46.2,ARG,2911
2912,Female,34:14.9,,2912
2913,Female,34:33.4,Cull,2913
2914,Female,34:33.8,ARG,2914
2915,Female,38:05.4,Cull,2915
2916,Female,38:23.8,ARG,2916
2917,Wether,38:24.0,,2917
2918,Female,43:42.2,,2918
2919,Female,44:01.5,ARG,2919
2920,Female,44:01.7,ARG,2920
2921,Female,46:34.2,ARG,2921
2922,Wether,46:55.1,,2922
2923,Wether,46:55.3,,2923
2924,Female,47:39.8,ARG,2924
2925,Female,47:57.6,,2925
2926,Wether,47:57.8,,2926
2927,Wether,49:22.3,,2927
2928,Female,49:39.2,,2928
2929,Wether,49:39.3,,2929
2930,Wether,52:35.0,,2930
2931,Wether,52:50.3,,2931
2932,Wether,52:50.5,,2932
2933,Female,58:24.6,ARG,2933
2934,Female,58:45.4,Cull,2934
2935,Female,58:45.6,ARG,2935
2936,Wether,59:40.7,,2936
2937,Female,59:41.0,ARG,2937
2938,Wether,01:06.8,,2938
2939,Wether,01:23.4,,2939
2940,Male,01:23.6,,2940
2941,Wether,06:32.2,,2941
2942,Wether,06:53.3,,2942
2943,Female,06:53.5,ARG,2943
2944,Female,08:45.5,Cull,2944
2945,Female,09:09.0,,2945
2946,Wether,09:09.2,,2946
2947,Wether,09:51.0,,2947
2948,Wether,10:10.1,,2948
2949,Female,10:10.3,ARG,2949
2950,Female,12:05.1,ARG,2950
2951,Female,12:31.3,,2951
2952,Female,12:31.5,ARG,2952
2953,Female,15:08.8,,2953
2954,Wether,15:29.8,,2954
2955,Female,15:30.0,,2955
2956,Female,15:47.5,Cull,2956
2957,Female,17:33.3,ARG,2957
2958,Female,17:55.1,Comm,2958
2959,Female,17:55.3,ARG,2959
2960,Female,18:06.8,ARG,2960
2961,Female,20:31.1,,2961
2962,Female,20:54.6,,2962
2963,Wether,20:54.8,,2963
2964,Female,21:54.9,Cull,2964
2965,Wether,22:09.1,,2965
2966,Female,22:09.3,ARG,2966
2967,Female,23:49.5,,2967
2968,Wether,25:00.6,,2968
2969,Wether,25:00.8,,2969
2970,Wether,25:08.1,,2970
2971,Wether,28:23.0,,2971
2972,Female,30:23.7,ARG,2972
2973,Male,30:24.0,,2973
2974,Female,31:33.2,,2974
2975,Female,31:54.7,ARG,2975
2976,Female,31:54.9,ARG,2976
2977,Wether,32:31.0,,2977
2978,Wether,33:21.8,,2978
2979,Female,33:47.9,ARG,2979
2980,Wether,33:48.2,,2980
2981,Female,33:57.6,,2981
2982,Wether,34:11.5,,2982
2983,Wether,35:26.8,,2983
2985,Female,35:47.6,Cull,2985
2986,Female,35:47.8,ARG,2986
2987,Wether,36:44.5,,2987
2988,Female,37:10.5,,2988
2989,Wether,37:10.7,,2989
2990,Male,39:02.0,,2990
2991,Wether,39:24.6,,2991
2992,Wether,39:24.8,,2992
2993,Wether,40:53.0,,2993
2994,Female,41:16.5,ARG,2994
2995,Wether,41:16.7,,2995
2996,Wether,43:34.3,,2996
2997,Wether,43:57.3,,2997
2998,Wether,43:57.5,,2998
2999,Female,47:36.4,Comm,2999
3000,Female,48:04.6,,3000
3001,Wether,48:04.8,,3001
3002,Female,49:12.7,,3002
3003,Wether,49:36.2,,3003
3004,Female,49:36.5,,3004
3005,Female,53:13.1,ARG,3005
3006,Female,53:37.6,ARG,3006
3007,Female,53:37.8,Cull,3007
3008,Female,55:53.5,ARG,3008
3009,Female,56:05.8,Cull,3009
3010,Wether,56:06.0,,3010
3011,Wether,00:09.9,,3011
3012,Wether,00:31.8,,3012
3013,Female,00:32.1,ARG,3013
3014,Female,02:35.0,ARG,3014
3015,Female,05:27.2,ARG,3015
3016,Wether,05:27.4,,3016
3017,Wether,50:32.7,,3017
3018,Wether,51:21.2,,3018
3019,Female,51:35.8,ARG,3019
3020,Female,52:04.5,Cull,3020
3021,Wether,52:13.8,,3021
3022,Female,52:54.9,ARG,3022
3023,Wether,54:30.2,,3023
3024,Female,55:49.5,ARG,3024
3025,Wether,56:31.5,,3025
3026,Female,57:30.8,Cull,3026
3027,Wether,57:59.0,,3027
3029,Wether,57:59.1,,3029
3030,Wether,58:09.0,,3030
3031,Wether,58:37.6,,3031
3032,Wether,59:26.7,,3032
3033,Female,01:00.5,Cull,3033
3034,Female,02:26.6,Cull,3034
3035,Female,02:34.5,Cull,3035
3036,Wether,02:34.6,,3036
3037,Wether,04:06.0,,3037
3038,Female,05:27.3,,3038
3039,Female,06:04.1,ARG,3039
3040,Female,09:47.6,Cull,3040
3041,Female,10:36.4,,3041
3042,Female,10:36.5,ARG,3042
3043,Female,12:26.5,ARG,3043
3044,Female,12:37.5,Cull,3044
3045,Wether,12:37.8,,3045
3046,Female,13:20.5,,3046
3047,Wether,16:58.6,,3047
3048,Female,18:53.7,ARG,3048
3049,Female,19:07.8,ARG,3049
3050,Female,19:08.0,,3050
3051,Female,26:26.4,,3051
3052,Wether,26:51.9,,3052
3053,Wether,26:52.1,,3053
3054,Wether,28:02.8,,3054
3055,Wether,28:11.0,,3055
3056,Wether,28:11.2,,3056
3057,Wether,28:34.9,,3057
3058,Wether,28:48.8,,3058
3059,Wether,28:48.9,,3059
3060,Wether,29:15.2,,3060
3061,Female,29:50.8,,3061
3062,Female,33:09.4,Cull,3062
3063,Female,33:09.5,Cull,3063
3064,Female,34:29.8,ARG,3064
3065,Female,34:37.5,,3065
3066,Female,34:37.6,,3066
3067,Female,36:00.6,,3067
3068,Female,39:15.7,Cull,3068
3069,Female,41:24.7,ARG,3069
3076,Male,42:55.7,,3076
3077,Male,43:07.2,,3077
3078,Male,43:46.9,,3078
3079,Male,44:34.1,,3079
3080,Male,45:11.6,,3080
3081,Male,46:11.7,,3081
3082,Male,46:20.2,,3082
3083,Male,46:20.4,,3083
3084,Female,46:45.6,Cull,3084
3085,Hermaphrodite,47:32.6,,3085
3086,Female,48:17.3,,3086
3087,Female,48:24.3,ARG,3087
3088,Female,48:24.5,ARG,3088
3089,Female,48:53.9,,3089
3090,Female,49:00.3,,3090
3091,Female,49:00.6,,3091
3092,Wether,49:31.5,,3092
3093,Female,49:38.8,,3093
3094,Wether,49:39.0,,3094
3095,Wether,50:00.4,,3095
3096,Wether,52:08.1,,3096
3097,Wether,52:39.3,,3097
3098,Female,52:49.0,,3098
3099,Female,52:49.1,ARG,3099
3100,Female,53:08.4,ARG,3100
3101,Wether,54:09.5,,3101
3102,Female,55:47.2,ARG,3102
3103,Wether,56:19.4,,3103
3104,Female,57:28.2,ARG,3104
