Goat_id,Note_date,Message
1985,52:53.9,New Tag: 11010
1987,53:15.1,New EID: 964001009986746
1987,53:23.7,Previous Tag: 012017
1987,53:23.8,New Tag: 12017
1984,54:05.7,New EID: 964001009986747
1984,54:14.4,Previous Tag: 009004
1984,54:14.6,New Tag: 9004
2504,54:32.1,New EID: 964001009986748
2504,55:36.4,Previous Tag: 012065
2504,55:36.7,New Tag: 12065
2530,56:06.4,New EID: 964001009986749
2530,56:13.8,Previous Tag: 012105
2530,56:14.0,New Tag: 12105
2511,56:38.3,New EID: 964001009986750
2511,56:45.5,Previous Tag: 012074
2511,56:45.8,New Tag: 12074
2509,57:02.9,New EID: 964001009986751
2509,57:10.0,Previous Tag: 012071
2509,57:10.2,New Tag: 12071
1942,57:28.7,New EID: 964001009986752
1942,57:37.4,Previous Tag: 012041
1942,57:37.6,New Tag: 12041
2716,58:39.1,New EID: 964001009986754
2716,58:47.8,Previous Tag: 011025
2716,58:47.9,New Tag: 11025
2520,59:23.0,New EID: 964001009986753
2520,59:31.0,Previous Tag: 012087
2520,59:31.2,New Tag: 12087
1922,00:48.2,New EID: 964001009986745
1922,00:55.5,Previous Tag: 009005
1922,00:55.6,New Tag: 9005
1900,01:12.2,New EID: 964001009986742
1900,01:21.0,Previous Tag: 011041
1900,01:21.2,New Tag: 11041
1900,01:31.3,Vinnie
1939,01:50.9,New EID: 964001009986743
1939,02:02.1,Previous Tag: 012101
1939,02:02.3,New Tag: 12101
1881,02:42.2,New EID: 964001009986744
1881,03:15.8,Previous Tag: 011021
1881,03:16.1,New Tag: 11021
1881,05:41.9,Previous EID: 964001009986744
2498,05:42.0,New EID: 964001009986744
1881,09:21.1,New EID: 964001009986622
2498,09:58.6,Previous Tag: 012058
2498,09:58.7,New Tag: 12058
2498,11:03.8,Tag i right ear
2501,11:23.8,New EID: 964001009986738
2501,11:33.1,Previous Tag: 012062
2501,11:33.2,New Tag: 12062
1944,11:50.9,New EID: 964001009986739
1944,11:59.7,Previous Tag: 012033
1944,11:59.9,New Tag: 12033
2495,12:45.7,New EID: 964001009986736
2495,12:52.7,Previous Tag: 012055
2495,12:52.9,New Tag: 12055
2717,13:55.0,New EID: 964001009986741
2496,14:33.3,New EID: 964001009986740
2496,14:40.1,Previous Tag: 012056
2496,14:40.3,New Tag: 12056
1995,15:11.5,New EID: 964001009986737
1995,15:21.1,Previous Tag: 010008
1995,15:21.3,New Tag: 10008
1999,15:47.5,New EID: 964001009986684
1999,16:03.3,Previous Tag: 012021
1999,16:03.5,New Tag: 12021
1999,17:19.7,Previous EID: 964001009986684
1999,17:19.9,New EID: 964001009986626
2533,18:00.8,New EID: 964001009986684
2533,18:12.1,Previous Tag: 012109
2533,18:12.3,New Tag: 12109
1877,19:35.1,New EID: 964001009986685
1877,22:25.7,Previous Tag: 010007
1877,22:25.9,New Tag: 10007
1877,23:16.9,Crooked star
2201,36:37.4,New EID: 964001009986683
2201,36:52.8,Pocket baby
2201,38:22.3,Previous Tag: 213080
2201,38:22.4,New Tag: 13080
2718,38:46.8,New EID: 964001009986682
1958,39:27.5,New EID: 964001009986681
1958,39:42.1,Previous Tag: 011023
1958,39:42.4,New Tag: 11023
2513,39:57.2,New EID: 964001009986680
2513,40:04.6,Previous Tag: 012076
2513,40:04.7,New Tag: 12076
2719,40:52.5,New EID: 964001009986679
2719,41:14.0,Previous Tag: 011026
2719,41:14.2,New Tag: 11026
2053,42:15.5,New EID: 964001009986678
2053,42:28.8,Previous Tag: 213047
2053,42:28.9,New Tag: 13047
2720,44:00.1,New EID: 964001009986677
1894,44:56.5,New EID: 964001009986676
1894,45:05.3,Previous Tag: 010011
1894,45:05.5,New Tag: 10011
1894,45:16.1,Bugsy
2009,46:16.8,New EID: 964001009986686
2491,46:58.0,New EID: 964001009986687
2491,47:06.4,Previous Tag: 012050
2491,47:06.6,New Tag: 12050
2544,47:41.2,New EID: 964001009986688
2067,48:31.0,New EID: 964001009986689
2721,51:51.9,New EID: 964001009986690
2092,53:09.2,New EID: 964001009986691
2092,53:16.8,Previous Tag: 213046
2092,53:17.0,New Tag: 13046
2214,53:35.6,New EID: 964001009986692
2722,57:36.3,New EID: 964001009986693
1963,58:07.7,New EID: 964001009986695
1963,58:19.5,Previous Tag: 012006
1963,58:19.8,New Tag: 12006
1980,59:06.0,New EID: 964001009986694
1980,59:14.6,Previous Tag: 010015
1980,59:14.8,New Tag: 10015
1919,59:51.5,New EID: 964001009986696
1919,00:00.9,Previous Tag: 009006
1919,00:01.0,New Tag: 9006
2723,01:10.1,New EID: 964001009986697
2521,01:50.1,New EID: 964001009986698
2521,01:57.9,Previous Tag: 012088
2521,01:58.0,New Tag: 12088
2521,02:07.7,Salsa
1886,02:25.4,New EID: 964001009986699
1886,02:33.0,Previous Tag: 012014
1886,02:33.2,New Tag: 12014
1956,02:53.1,New EID: 964001009986700
1956,03:00.4,Previous Tag: 012039
1956,03:00.5,New Tag: 12039
2529,03:58.3,New EID: 964001009986701
2529,05:04.1,Right ear tagged wild child
2529,05:17.5,Previous Tag: 012104
2529,05:17.8,New Tag: 12104
1930,05:39.6,New EID: 964001009986702
1930,05:48.9,Previous Tag: 012080
1930,05:49.2,New Tag: 12080
2105,06:08.0,New EID: 964001009986703
2516,06:37.8,New EID: 964001009986705
2516,06:50.8,Previous Tag: 012081
2516,06:51.0,New Tag: 12081
2724,08:34.2,New EID: 964001009986704
2005,09:50.6,New EID: 964001009986706
2005,10:04.7,Previous Tag: 012031
2005,10:04.8,New Tag: 12031
2005,10:25.2,Tagged in right ear
2527,10:58.4,New EID: 964001009986715
2527,11:05.8,Previous Tag: 012100
2527,11:06.0,New Tag: 12100
2075,11:59.9,New EID: 964001009986714
2075,12:08.9,Previous Tag: 213069
2075,12:09.1,New Tag: 13069
2128,12:41.3,New EID: 964001009986713
2096,14:17.3,New EID: 964001009986708
2096,14:24.1,Previous Tag: 213084
2096,14:24.2,New Tag: 13084
1923,15:12.3,New EID: 964001009986709
1923,15:20.0,Previous Tag: 009013
1923,15:20.2,New Tag: 9013
1923,15:37.4,Premedona momma
2101,16:17.2,New EID: 964001009986707
2101,16:24.9,Previous Tag: 213088
2101,16:25.2,New Tag: 13088
1925,17:35.1,New EID: 964001009986710
1925,17:45.1,Previous Tag: 011035
1925,17:45.3,New Tag: 11035
1948,18:00.3,New EID: 964001009986711
1948,18:07.0,Previous Tag: 012002
1948,18:07.1,New Tag: 12002
1909,18:45.4,New EID: 964001009986712
1909,19:10.0,Previous Tag: 009021
1909,19:10.1,New Tag: 9021
2725,21:19.6,New EID: 964001009986756
2725,21:54.4,Tag in right ear
1994,22:09.4,New EID: 964001009986757
1994,22:29.9,Previous Tag: 012009
1994,22:30.0,New Tag: 12009
1994,22:42.5,Crincly horns
2000,23:00.2,New EID: 964001009986758
2000,23:11.6,Previous Tag: 012048
2000,23:11.8,New Tag: 12048
2543,24:16.5,New EID: 964001009986759
2042,24:58.7,New EID: 964001009986760
2216,29:53.4,New EID: 964001009986761
1910,30:19.0,New EID: 964001009986762
1910,30:38.2,Previous Tag: 012044
1910,30:38.3,New Tag: 12044
2517,31:14.7,New EID: 964001009986763
2517,31:27.4,Previous Tag: 012083
2517,31:27.5,New Tag: 12083
1978,32:08.4,New EID: 964001009986765
1978,32:19.9,Previous Tag: 012023
1978,32:20.0,New Tag: 12023
2506,32:58.7,New EID: 964001009986764
2506,33:05.7,Previous Tag: 012068
2506,33:05.9,New Tag: 12068
2499,33:42.1,New EID: 964001009986775
2499,33:51.6,Previous Tag: 012060
2499,33:51.8,New Tag: 12060
2068,34:31.7,New EID: 964001009986774
2205,35:20.7,New EID: 964001009986773
2189,35:51.5,New EID: 964001009986772
2100,36:19.4,New EID: 964001009986771
2535,45:38.3,New EID: 964001009986766
2535,45:48.2,Previous Tag: 012114
2535,45:48.5,New Tag: 12114
2508,46:01.8,New EID: 964001009986767
2508,46:27.8,Previous Tag: 012070
2508,46:28.1,New Tag: 12070
2726,50:14.3,New EID: 964001009986770
2505,50:55.3,New EID: 964001009986769
2505,51:06.4,Previous Tag: 012066
2505,51:06.5,New Tag: 12066
2727,52:58.4,New EID: 964001009986768
2727,53:44.1,Old number 13014 speckilty goa
2728,55:18.7,New EID: 964001009986776
2729,56:38.3,New EID: 964001009986785
1997,57:19.5,New EID: 964001009986784
1997,57:25.5,Previous Tag: 012027
1997,57:25.6,New Tag: 12027
1997,57:34.8,Krystal
2730,59:01.7,New EID: 964001009986783
2528,59:46.5,New EID: 964001009986782
2528,59:53.5,Previous Tag: 012103
2528,59:53.8,New Tag: 12103
2528,00:11.6,Oprah
2731,01:28.3,New EID: 964001009986781
2522,02:15.0,New EID: 964001009986780
2522,02:26.2,Previous Tag: 012090
2522,02:26.4,New Tag: 12090
2523,02:52.7,New EID: 964001009986779
2523,03:02.1,Previous Tag: 012093
2523,03:02.3,New Tag: 12093
2113,03:29.1,New EID: 964001009986777
2175,04:35.5,New EID: 964001009986778
2175,04:45.0,Previous Tag: 213067
2175,04:45.2,New Tag: 13067
1931,05:43.9,New EID: 964001009986795
1931,06:15.7,Previous Tag: 012034
1931,06:15.9,New Tag: 12034
2732,30:46.0,New EID: 964001009986794
2558,41:57.2,New EID: 964001009986793
2558,42:39.7,Previous Tag: 12015B
2558,42:40.0,New Tag: 14001
2326,48:35.1,New EID: 964001009986792
2326,49:35.7,Previous Tag: 12006C
2326,49:35.9,New Tag: OR0248
2326,50:10.5,Fizzie
2243,51:08.5,New EID: 964001009986791
2243,51:45.3,Previous Tag: 10019A
2243,51:45.5,New Tag: OR0249
2238,53:23.0,New EID: 964001009986790
2238,54:01.3,Previous Tag: 10016B
2238,54:01.5,New Tag: OR0250
2238,54:19.8,Smartie
2267,56:22.1,New EID: 964001009986789
2267,56:47.0,Previous Tag: 09014A
2267,56:47.2,New Tag: 14002
2267,57:32.5,Big girl
2325,58:04.4,New EID: 964001009986788
2325,58:19.7,Previous Tag: 12006B
2325,58:20.0,New Tag: 14003
2414,00:05.8,New EID: 964001009986787
2414,00:23.2,Previous Tag: 12068A
2414,00:23.4,New Tag: 14004
2460,01:49.2,New EID: 964001009986786
2460,02:02.0,Previous Tag: 12101A
2460,02:02.2,New Tag: 14005
2397,03:30.4,New EID: 964001009986806
2397,03:52.4,Previous Tag: 12057A
2397,03:52.6,New Tag: 14006
2358,05:22.8,New EID: 964001009986807
2358,05:44.5,Previous Tag: 12029C
2358,05:44.7,New Tag: 14007
2401,06:32.6,New EID: 964001009986808
2401,06:56.2,Previous Tag: 12060S
2401,06:56.5,New Tag: 14008
2456,11:12.0,New EID: 964001009986809
2456,11:29.5,Previous Tag: 12099B
2456,11:29.7,New Tag: 14009
2476,13:49.3,New EID: 964001009986810
2476,14:06.1,Previous Tag: 12117A
2476,14:06.2,New Tag: 14010
2383,15:12.2,New EID: 964001009986811
2383,15:33.9,Previous Tag: 12047B
2383,15:34.1,New Tag: 14011
2328,17:16.9,New EID: 964001009986812
2328,17:42.2,Previous Tag: 12008B
2328,17:42.4,New Tag: 14012
2304,19:14.1,New EID: 964001009986813
2304,19:37.5,Previous Tag: 11034B
2304,19:37.8,New Tag: 14013
2224,21:15.6,New EID: 964001009986815
2224,21:39.3,Previous Tag: 10005B
2224,21:39.5,New Tag: 14014
2219,23:28.6,New EID: 964001009986796
2219,24:04.0,Previous Tag: 10002B
2219,24:04.2,New Tag: OR0251
2373,25:58.8,New EID: 964001009986797
2373,26:24.4,Previous Tag: 12040A
2373,26:24.6,New Tag: 14015
2282,27:35.5,New EID: 964001009986798
2282,28:03.7,Previous Tag: 09026B
2282,28:04.0,New Tag: 14016
2562,29:54.7,New EID: 964001009986800
2562,30:10.7,Previous Tag: 12063A
2562,30:10.9,New Tag: 14017
2365,39:16.9,New EID: 964001009986799
2365,39:37.6,Previous Tag: 12036B
2365,39:37.8,New Tag: 14018
2435,40:51.1,New EID: 964001009986801
2435,41:10.2,Previous Tag: 12080A
2435,41:10.4,New Tag: 14019
2377,42:25.3,New EID: 964001009986802
2377,42:37.7,Previous Tag: 12041B
2377,42:37.9,New Tag: 14020
2468,45:06.5,New EID: 964001009986803
2468,45:20.2,Previous Tag: 12109S
2468,45:20.3,New Tag: 14021
2474,46:48.2,New EID: 964001009986804
2474,47:14.0,Previous Tag: 12116A
2474,47:14.2,New Tag: 14022
2322,50:53.1,New EID: 964001009986805
2322,51:12.8,Previous Tag: 12005A
2322,51:13.0,New Tag: 14023
2409,53:20.7,New EID: 964001009986826
2409,53:46.1,Previous Tag: 12065A
2409,53:46.3,New Tag: 14024
2292,55:10.3,New EID: 964001009986827
2292,55:33.8,Previous Tag: 11023A
2292,55:34.1,New Tag: 14025
2234,04:33.7,New EID: 964001009986828
2234,04:51.4,Previous Tag: 10010S
2234,04:51.6,New Tag: 14026
2254,08:59.0,New EID: 964001009986825
2254,09:35.4,Previous Tag: 09004A
2254,09:35.7,New Tag: 14027
2305,10:36.7,Previous Tag: 11041C
2305,10:36.8,New Tag: 14028
2447,15:29.6,New EID: 964001009986829
2447,15:45.9,Previous Tag: 12090C
2447,15:46.1,New Tag: 14029
2286,20:10.3,New EID: 964001009986830
2286,20:28.8,Previous Tag: 11012A
2286,20:29.0,New Tag: 14030
2361,22:24.7,New EID: 964001009986835
2361,22:42.2,Previous Tag: 12031A
2361,22:42.5,New Tag: 14031
2281,24:09.9,New EID: 964001009986831
2281,24:25.2,Previous Tag: 09026A
2281,24:25.3,New Tag: 14032
2465,26:24.0,New EID: 964001009986832
2465,26:44.4,Previous Tag: 12105B
2465,26:44.7,New Tag: 14033
2332,28:29.5,New EID: 964001009986833
2332,28:47.0,Previous Tag: 12012B
2332,28:47.3,New Tag: 14034
2295,30:49.3,New EID: 964001009986824
2295,31:27.8,Previous Tag: 11025A
2295,31:28.0,New Tag: 14036
2355,32:28.3,Previous Tag: 12026B
2355,32:28.4,New Tag: 14035
2381,41:52.2,New EID: 964001009986834
2381,42:07.7,Previous Tag: 12046B
2381,42:08.0,New Tag: 14037
2381,42:27.4,She was tagged a boy
2422,43:10.1,New EID: 964001009986823
2422,44:03.0,Previous Tag: 12073A
2422,44:03.2,New Tag: 14038
2422,44:15.7,milky way
2439,49:46.1,New EID: 964001009986821
2439,50:18.7,Previous Tag: 12081C
2439,50:18.9,New Tag: OR0252
2445,52:37.2,New EID: 964001009986822
2445,53:08.0,Previous Tag: 12087B
2445,53:08.3,New Tag: 14039
2268,58:01.2,New EID: 964001009986820
2268,58:55.3,Previous Tag: 09015A
2268,58:55.5,New Tag: 14041
2556,00:55.4,New EID: 964001009986818
2556,01:14.0,Previous Tag: 09021A
2556,01:14.2,New Tag: 14042
2308,02:07.5,New EID: 964001009986816
2308,02:26.9,Previous Tag: 11042B
2308,02:27.1,New Tag: 14043
2382,21:48.2,New EID: 964001009986845
2382,22:12.8,Previous Tag: 12047A
2382,22:13.1,New Tag: 14044
2331,28:49.7,New EID: 964001009986844
2331,29:18.3,Previous Tag: 12011B
2331,29:18.5,New Tag: 14046
2410,30:17.0,New EID: 964001009986843
2410,30:34.0,Previous Tag: 12065B
2410,30:34.3,New Tag: 14047
2734,32:28.3,New EID: 964001009986841
2734,32:46.0,Previous Tag: 12036B
2734,32:46.2,New Tag: 14049
2438,34:14.9,New EID: 964001009986840
2438,34:33.4,Previous Tag: 12081A
2438,34:33.8,New Tag: 14048
2380,38:05.4,New EID: 964001009986839
2380,38:23.8,Previous Tag: 12046A
2380,38:24.0,New Tag: 14050
2426,43:42.2,New EID: 964001009986838
2426,44:01.5,Previous Tag: 12075S
2426,44:01.7,New Tag: 14051
2393,46:34.2,New EID: 964001009986837
2393,46:55.1,Previous Tag: 12055A
2393,46:55.3,New Tag: 14052
2344,47:39.8,New EID: 964001009986855
2344,47:57.6,Previous Tag: 12020A
2344,47:57.8,New Tag: 14053
2561,49:22.3,New EID: 964001009986846
2561,49:39.2,Previous Tag: 12053B
2561,49:39.3,New Tag: 14055
2443,52:35.0,New EID: 964001009986842
2443,52:50.3,Previous Tag: 12085B
2443,52:50.5,New Tag: 14054
2462,58:24.6,New EID: 964001009986847
2462,58:45.4,Previous Tag: 12103B
2462,58:45.6,New Tag: 14056
2337,59:40.7,Previous Tag: 12016S
2337,59:41.0,New Tag: 14057
2563,01:06.8,New EID: 964001009986849
2563,01:23.4,Previous Tag: 12063B
2563,01:23.6,New Tag: 14060
2406,06:32.2,New EID: 964001009986854
2406,06:53.3,Previous Tag: 12062B
2406,06:53.5,New Tag: 14059
2262,08:45.5,New EID: 964001009986850
2262,09:09.0,Previous Tag: 09009B
2262,09:09.2,New Tag: 14058
2481,09:51.0,New EID: 964001009986848
2481,10:10.1,Previous Tag: 12119A
2481,10:10.3,New Tag: 14061
2303,12:05.1,New EID: 964001009986853
2303,12:31.3,Previous Tag: 11034A
2303,12:31.5,New Tag: 14062
2341,15:08.8,New EID: 964001009986852
2341,15:29.8,Previous Tag: 12018C
2341,15:30.0,New Tag: 14063
2341,15:47.5,Miss pixie
2336,17:33.3,New EID: 964001009986851
2336,17:55.1,Previous Tag: 12013C
2336,17:55.3,New Tag: 14064
2336,18:06.8,Model baby
2407,20:31.1,New EID: 964001009986875
2407,20:54.6,Previous Tag: 12064A
2407,20:54.8,New Tag: 14065
2403,21:54.9,New EID: 964001009986874
2403,22:09.1,Previous Tag: 12061A
2403,22:09.3,New Tag: 14066
2264,23:49.5,New EID: 964001009986873
2264,25:00.6,Previous Tag: 09010A
2264,25:00.8,New Tag: OR0253
2264,25:08.1,Mike
2735,28:23.0,New EID: 964001009986871
2735,30:23.7,Previous Tag: 12080C
2735,30:24.0,New Tag: OR0254
2265,31:33.2,New EID: 964001009986872
2265,31:54.7,Previous Tag: 09010B
2265,31:54.9,New Tag: OR0255
2265,32:31.0,Ike
2469,33:21.8,New EID: 964001009986869
2469,33:47.9,Previous Tag: 12111S
2469,33:48.2,New Tag: 14067
2469,33:57.6,Julie
2469,34:11.5,Julie
2310,35:26.8,New EID: 964001009986870
2310,35:47.6,Previous Tag: 11044B
2310,35:47.8,New Tag: 14068
2470,36:44.5,New EID: 964001009986867
2470,37:10.5,Previous Tag: 12112B
2470,37:10.7,New Tag: 14069
2335,39:02.0,New EID: 964001009986868
2335,39:24.6,Previous Tag: 12013B
2335,39:24.8,New Tag: 14070
2235,40:53.0,New EID: 964001009986865
2235,41:16.5,Previous Tag: 10011B
2235,41:16.7,New Tag: 14071
2273,43:34.3,New EID: 964001009986864
2273,43:57.3,Previous Tag: 09022A
2273,43:57.5,New Tag: 14072
2459,47:36.4,New EID: 964001009986866
2459,48:04.6,Previous Tag: 12100B
2459,48:04.8,New Tag: 14073
2297,49:12.7,New EID: 964001009986863
2297,49:36.2,Previous Tag: 11027A
2297,49:36.5,New Tag: 14074
2257,53:13.1,New EID: 964001009986862
2257,53:37.6,Previous Tag: 09005A
2257,53:37.8,New Tag: 14075
2388,55:53.5,New EID: 964001009986861
2388,56:05.8,Previous Tag: 12050A
2388,56:06.0,New Tag: 14076
2313,00:09.9,New EID: 964001009986860
2313,00:31.8,Previous Tag: 11046B
2313,00:32.1,New Tag: 14077
2736,02:35.0,New EID: 964001009986859
2736,05:27.2,Previous Tag: 12015B
2736,05:27.4,New Tag: 14078
2199,50:32.7,New EID: 964001009986857
2737,51:21.2,New EID: 964001009986889
2737,51:35.8,jetta
2738,52:04.5,New EID: 964001009986856
2738,52:13.8,.buick
2739,52:54.9,New EID: 964001009986623
2024,54:30.2,New EID: 964001009986858
2159,55:49.5,New EID: 964001009986885
2179,56:31.5,New EID: 964001009986884
1908,57:30.8,New EID: 964001009986883
1908,57:59.0,Previous Tag: 012038
1908,57:59.1,New Tag: 12038
1908,58:09.0,Abbie
2093,58:37.6,New EID: 964001009986882
